Id,Keywords,Authors,Accesses,Journal,main_topic_15
318,"['Modern slavery', 'Cannabis farms', 'Human trafficking', 'Slavery investigations', 'Failure to plead victimisation', 'Drug arrests']",Adam Ramiz,2065,Cambridge Journal of Evidence-Based Policing,Geography
319,"['Person re-identification', 'Image quality', 'Multi-stream network', 'Low resolution']","Yongxin Ge, Sheng Huang, Feiyu Chen & Hongxing Wang",10,The Visual Computer,Economics
320,"['Political philosophy', 'Social ontology', 'Liberalism', 'Individualism', 'Group agency']",Aluizio Couto,393,Philosophia,Computer Science
321,"['Central Asia', 'social network analysis', 'geo-relations', 'evolution', 'driving forces']",Yun Wang & Yi Liu,29,Journal of Geographical Sciences,Psychology
322,"['Periodic motion', 'Layers dynamics', 'Singular perturbations']",Giorgio Fusco,23,Journal of Dynamics and Differential Equations,Education
323,"['Informal social control', 'Collective efficacy', 'Social ties', 'Community']",Rebecca Wickes,2271,Journal of Quantitative Criminology,Philosophy
324,"['Burgers equation', 'Periodic wave', 'Phase plot', 'Dynamical system', '52.35.Fp', '52.27.Gr', '52.27.Lw', '52.35.Mw', '47.20.Ky', '31.15.Md']",Jharna Tamang & Asit Saha,119,Indian Journal of Physics,Mathematics
325,"['Assessment', 'Fairness', 'Health professions education', 'Judgement', 'Subjective']","Nyoli Valentine, Ernst Michael Shanahan & Lambert Schuwirth",374,Advances in Health Sciences Education,Mathematics
326,"['Image processing', 'Front tracking', 'Shock wave', 'High-speed videos']","Samee Maharjan, Dag Bjerketvedt & Ola Marius Lysaker",288,"Signal, Image and Video Processing",Physics 2
327,"['Working memory', 'Visual short-term memory', 'Perceptual organization', 'Complexity', 'Compression']",Hanane Ramzaoui & Fabien Mathy,62,"Attention, Perception, & Psychophysics",Economics
328,"['Carbon dots', 'Silicon', 'Mercury', 'Fluorescence probe', 'Fluorine', 'Microwave']",Reza Tabaraki & Zahra Rahmatinya,38,Journal of Fluorescence,Education
329,"['Juvenile justice', 'Services', 'Desistance', 'Attachments', 'Youth perceptions', 'Employment']",JoAnn S. Lee,144,Journal of Developmental and Life-Course Criminology,Education
330,"['Urban segregation', 'Political attitudes', 'Electoral behaviour', 'Neighbourhood effect']",Oriol Nel·lo & Aina Gomà,2500,"City, Territory and Architecture",Education
331,"['Corona virus', 'Covid-19', 'Machine learning', 'Deep learning', 'CT images', 'Convolutional neural network', 'Covid-net', 'IRCNN', 'CheXNet']",T. Aishwarya & V. Ravi Kumar,0,SN Computer Science,Psychology 2
332,"['Vehicle theft recognition', 'Surveillance video', 'Spatiotemporal attention']","Lijun He, Shuai Wen & Fan Li",131,Applied Intelligence,Criminology and Crime Justice
333,"['Gun control', 'Young adults', 'Violent crime', 'Gun Control Act of 1968']",Gary Kleck,625,American Journal of Criminal Justice,Computer Science
334,[],"Federico Fioravanti, Fernando Tohmé & Fernando Delbianco",45,International Journal of Game Theory,Geography
335,"['Autism spectrum disorder', 'Quality of life', 'Adulthood', 'Systematic review']",Gema P. Sáez-Suanes & María Álvarez-Couto,29,Review Journal of Autism and Developmental Disorders,Physics
336,"['Subjectivism', 'Humeanism', 'Idealization', 'Reasons for action', 'Desire', 'Normativity', 'Rationality']",Jay Jian,1179,Philosophical Studies,Education
337,"['Alzheimer’s disease', 'ATN classification', 'Biomarkers']",Koen Delmotte & Rik Vandenberghe,0,Alzheimer's Research & Therapy,Computer Science
338,['R12'],"Edilberto Tiago de Almeida, Raul da Mota Silveira Neto, Jaime Macedo de Brito Bastos & Rubens Lopes Pereira da Silva",67,The Annals of Regional Science,Philosophy
339,"['Police proactivity', 'Police everyday practice', 'Deterrence', 'GMM', 'Reverse causality']","Xiaoyun Wu, Christopher Koper & Cynthia Lum",203,Journal of Quantitative Criminology,Education
340,"['COVID-19', 'Gender difference', 'School closure', 'Primary school', 'Remote work', 'D13', 'J12', 'J13', 'J16', 'I28']",Eiji Yamamura,1861,Review of Economics of the Household,Psychology 2
341,"['Fecal microbiota transplant', 'Social and religious perspectives', 'Attitudes', 'Ethics', 'Jordan']",Amal G. Al-Bakri,601,BMC Medical Ethics,Education
342,[],Debolina Misra,48,The European Physical Journal B,Education
343,[],"Jana Bašnáková, Vladimíra Čavojová & Jakub Šrol",212,Science & Education,Economics
344,"['Fixed-lens multifocus capture', 'Macroimaging', 'Multifocus stacking', 'Multifocus image fusion', 'Image registration', 'Perspective image formation', 'Multiview stereo', '3D reconstruction', 'Multifocus multiview reconstruction', 'Image-based 3D reconstruction', 'Insects', 'Small objects', 'Small specimens']",Shah Ariful Hoque Chowdhury & Richard Hartley,91,Neural Computing and Applications,Education
345,"['Prostatic intervention robot', 'Binocular vision system', 'Ultrasonic motor actuation', 'Accuracy evaluation']","Yuyang Lin, Yunlai Shi, Fugang Wang, Haichao Sun & Wenbo Wu",16,Medical & Biological Engineering & Computing,Education
346,"['Corruption', 'Policy failure', 'Moral incompetence', 'Feedback mechanisms', 'Epistemic trespassers']",Mario I. Juarez-Garcia,128,Res Publica,Geography
347,"['Handwriting task', 'Fluctuation', 'One-over-f fluctuation', 'White noise', 'Detrended fluctuation analysis']",Keisuke Tanaka & Masafumi Uchida,26,Artificial Life and Robotics,Physics
348,"['Counseling', 'School psychology', 'Assessment', 'Graduate training', 'COVID-19']",Arlene Ortiz & Michael Levine,234,Contemporary School Psychology,Mathematics
349,"['Metamemory', 'Metacognitive monitoring', 'Metacognitive control', 'Judgments of learning']",Skylar J. Laursen & Chris M. Fiacconi,227,Memory & Cognition,Geography
350,"['Breast cancer survivors', 'Lifestyle factors', 'Reproductive factors', 'Breast cancer tumor characteristics', 'Breast cancer treatment', 'Contralateral breast cancer']","Cody Ramin, Sara J. Schonfeld, Pragati G. Advani & Amy Berrington de González",0,Cancer Causes & Control,Physics 2
351,"['Ethnic tourism', 'Tourism anthropology', 'Cultural heritage', 'Consciousness survey', 'Bali', 'Traditional culture', 'Paintings', 'Wooden craft', 'R11', 'Z11', 'Z32']",Yoko Mayuzumi,72,Asia-Pacific Journal of Regional Science,Physics
352,"['Social Control', 'Collective Efficacy', 'Relational Identity', 'Educational Investment', 'Bright Side']",John Hagan,193,"Crime, Law and Social Change",Psychology
353,"['Zhoushan archipelago', 'Ancient wood layer', '5900–5600\xa0yr BP', 'Ecological disaster', 'Storm surge']","Zhongkang Yang, Yuhong Wang, Zhouqing Xie & Liguang Sun",93,Journal of Coastal Conservation,Physics
354,"['35B40', '35B27', '35J62']",Hamid Haddadou,131,Arabian Journal of Mathematics,Physics
355,[],"H. Naik, S. P. Dange & R. J. Singh",28,The European Physical Journal A,Education
356,"['Empathy', 'Medical student', 'Psychometrics', 'Toronto empathy questionnaire']",Sanghee Yeo,482,BMC Medical Education,Economics 2
357,"['urban land use', 'plot ratio change map', 'multi-dimensional expansion', 'volume growth contribution rate', 'Nanjing']","Weifeng Qiao, Qingqing Ji, Ju Wu & Min Cao",109,Journal of Geographical Sciences,Biomedicine
358,"['Higher education', 'Teaching and learning', 'Reflective and integrative learning', 'Student-faculty interaction', 'Assessment and feedback']",Rosna Awang-Hashim & S. Kanageswari a/p Suppiah Shanmugam,126,Higher Education,Education
359,"['High-order thinking', 'Pedagogical change', 'Teachers’ learning communities', 'Peer learning']",Shirley Miedijensky,55,Interchange,Philosophy
360,[],Hitoshi Matsushima,379,Social Choice and Welfare,Psychology
361,"['Hippocampus', 'Imaging', 'fMRI', 'Head', 'Body', 'Tail']","Lori L. Beason-Held, Andrea T. Shafer, Joshua O. Goh, Brieana Viscomi, Jessica Ash, Melissa Kitner-Triolo, Luigi Ferrucci & Susan M. Resnick",330,Brain Imaging and Behavior,Philosophy
362,"['dryland maize', 'throughfall', 'stemflow', 'canopy interception loss', 'yield', 'water use efficiency', 'Loess Plateau']","Jing Zheng, Junliang Fan, Fucang Zhang, Shicheng Yan, Jinjin Guo, Dongfeng Chen & Zhijun Li",196,Journal of Arid Land,Biomedicine
363,"['Internet of medical things', 'Multiple multilayer perceptron', 'Adaptive learning rate', 'Back-propagation', 'Thyroid disease', 'Artificial neural network']",Mehdi Hosseinzadeh,247,The Journal of Supercomputing,Economics
364,"['Northeast China', 'land use', 'spatio-temporal change', 'scenario', 'ecosystem service']","Tian Xia, Wenbin Wu, Qingbo Zhou & Peng Yang",266,Journal of Geographical Sciences,Mathematics
365,"['Financial development', 'Institutional quality', 'Economic growth', 'GMM', 'Threshold', 'West Africa', 'D53', 'E44', 'E02', 'N27']",Clement Olalekan Olaniyi & Sunday Idowu Oladeji,433,Economic Change and Restructuring,Mathematics
366,"['prenatal alcohol exposure', 'neonate', 'multimodal brain imaging', 'structural brain network', 'functional brain network', 'graph theoretical analysis']",Annerine Roos,1046,Brain Imaging and Behavior,Psychology
367,"['High-speed train', 'Speed prediction model', 'Echo state networks', 'Scaling random weights', 'Temporal scale selection']","Hongen Liu, Hui Yang & Dianhui Wang",119,Neural Computing and Applications,Psychology 2
368,"['Autobiographical memory Bias', 'Competitive memory training', 'Cancer', 'Post-traumatic stress disorder']",Sharareh Farahimanesh,26,Current Psychology,Computer Science
369,"['Siblings', 'Autism spectrum disorder', 'Sibling relationship', 'Stakeholders', 'Psychoeducation']","Marika C. Coffman, Nicole Kelso, Ligia Antezana & John A. Richey",60,Journal of Child and Family Studies,Physics
370,"['Antiferromagnetic', 'Iron sulfide', 'Intergranular']","M. I. H. Nur-Suraya, J. Nur-Akasyah & R. Abd-Shukor",54,Applied Physics A,Criminology and Crime Justice
371,"['Corporate social responsibility', 'Luxury brand value', 'Willingness to pay a premium price', 'Culture']",Mbaye Fall Diallo,1717,Journal of Business Ethics,Economics
372,"['Undergraduate medical education', 'Preparation for practice', 'On‐call simulation', 'Cognitive load theory']","Nichola Hawkins, Helen-Cara Younan, Molly Fyfe & Ravi Parekh",490,BMC Medical Education,Physics
373,"['Merit functions for sparsity', '\n\\(\\ell _{0}\\)-minimization', 'Dual-density-based algorithm', 'Strict complementarity', 'Bilevel optimization', 'Convex relaxation']",Jialiang Xu,6,Journal of Global Optimization,Physics
374,"['Adolescent', 'Peru', 'Pregnancy', 'Psychometrics', 'Resilience']",Elizabeth J. Levey & Bizu Gelaye,258,Journal of Child & Adolescent Trauma,Biomedicine
375,"['Ground', 'Content', 'Equivalence', 'Truthmaking', 'Logic']",Stephan Krämer,187,Synthese,Economics 2
376,"['Income inequality', 'Regions', 'Determinants', 'Meta-analysis', 'Publication bias', 'D3', 'O10', 'O15', 'O20', 'R10']",Diana Barros,256,Review of Regional Research,Philosophy
377,"['metals', 'macroelements', 'trace elements', 'migration', 'water exchange']",M. Yu. Semenov,11,Geography and Natural Resources,Biomedicine
378,"['Histones', 'Histone genes', 'Histone mutations', 'Cancer', 'Oncohistones']","Stefano Amatori, Stefano Gambardella & Mirco Fanelli",441,Clinical Epigenetics,Philosophy
379,"['HIV', 'Incarceration', 'Re-entry', 'Primary care', 'Retention in care', 'Transitions clinic']",Mariya I. Masyukova,1325,Health & Justice,Criminology and Crime Justice
380,"['Semantic role labeling', 'Frame semantics', 'Framester', 'Dependency parsing', 'Role oriented knowledge graphs']",Mehwish Alam,198,Progress in Artificial Intelligence,Mathematics
381,"['ICZM Observatory', 'Coastal management and planning', 'Web-GIS', 'Operational numerical models', 'Public participation', 'Kavala Municipality']",V. Kalpakis,250,Journal of Coastal Conservation,Psychology
382,"['Point cloud', 'Convolution', 'Semantic segmentation', 'Classification']","Yuan Fang, Chunyan Xu, Chuanwei Zhou & Zhen Cui",41,Multimedia Systems,Biomedicine
383,"['Hypoxia', 'HIF', 'Podocyte', 'EMT', 'Slit-diaphragm', 'Proteinuria']","Ashish K. Singh, Lakshmi P. Kolligundla, Justus Francis & Anil K. Pasupulati",48,Journal of Physiology and Biochemistry,Philosophy
384,"['Interprofessional education', 'Medical sociology', 'Multiprofessional education', 'Patient safety', 'Qualitative research', 'Quality improvement']","Joanne Goldman, Kaveh Shojania & Brian Wong",234,Advances in Health Sciences Education,Education
385,"['Expert system', 'Long short-term memory', 'Synaptic plasticity', 'LTP']","Shaokai Zhao, Yingchun Shang, Ze Yang, Xi Xiao & Tao Zhang",135,Cognitive Neurodynamics,Psychology
386,"['Deep Inelastic Scattering (Phenomenology)', 'Phenomenological Models']","Vincenzo Cirigliano, Kaori Fuyuto, Christopher Lee, Emanuele Mereghetti & Bin Yan",31,Journal of High Energy Physics,Computer Science
387,"['Model checking', 'Agent-based simulation system', 'Global behaviours and operational behaviours', 'Model transformation']","Yinling Liu, Tao Wang & Vincent Cheutet",154,Software and Systems Modeling,Mathematics
388,"['Bulk-interface coupling', 'Surface waves', 'Energy–dissipation balance', 'Fractional derivatives', 'Parabolic Dirichlet-to-Neumann map', 'Convergence of semigroups', '35Q35', '35Q74', '74J15']",Alexander Mielke,6,Journal of Evolution Equations,Criminology and Crime Justice
389,"['GNSS', 'Ionospheric scintillations', 'Multi-constellation', 'PPP']",Paolo Dabove,264,Applied Geomatics,Psychology
390,"['Grushin operator', 'Eigenvalues', 'Domain perturbation', 'Shape sensitivity analysis', 'Real analyticity', 'Hadamard formula', 'Rellich–Pohozaev identity', '35J70', '35B20', '35P05', '47A10', '49K40']",Pier Domenico Lamberti & Paolo Luzzini,82,The Journal of Geometric Analysis,Psychology
391,[],P. A. González & Marco Olivares,1130,The European Physical Journal C,Biomedicine
392,"['Mobile ad hoc network', 'MANET', 'Information distribution', 'Network resiliency analysis', 'Graph interdiction']","Ningji Wei, Jose L. Walteros & McKenzie R. Worden",21,Optimization Letters,Geography 2
393,"['Variational inclusion', 'Monotonicity', 'Lipschitz continuity', 'Regularization method', 'Forward-backward-forward method', '65Y05', '65K15']",Dang Van Hieu,62,Journal of Applied Mathematics and Computing,Philosophy
394,"['development geography', 'multidimensional poverty', 'poverty measurement', 'spatio-temporal dynamics', 'collaborative poverty reduction']",Yin Dong,117,Journal of Geographical Sciences,Geography
395,"['Autism spectrum disorder', 'Screening', 'Health disparities', 'Early detection']","Abbey Eisenhower, Sophie Brunt & Alice S. Carter",739,Journal of Autism and Developmental Disorders,Education
396,"['Teacher identity', 'Teacher education', 'EFL context', 'Imagined identity']",Lianjiang Jiang & Shulin Yu,424,The Asia-Pacific Education Researcher,Computer Science
397,"['Embryonic development', 'Endothelial cell', 'Lymphangiogenesis', 'Lymphvasculogenesis', 'Lymphatic vasculature']","Daniyal J. Jafree, David A. Long & Peter J. Scambler",745,Angiogenesis,Economics
398,[],Doowon Koh,92,Mathematische Zeitschrift,Psychology
399,"['Machine learning', 'Science assessment', 'Validity']",Xiaoming Zhai,287,Journal of Science Education and Technology,Mathematics
400,"['Deaf', 'Autism Spectrum Disorder', 'Assessment', 'Delphi consensus', 'Child', 'Diagnosis', 'Sign language', 'Autism diagnostic observation schedule']","Helen Phillips, Barry Wright, Jennifer Sweetman, Rebecca Hargate, Rachel Hodkinson, Hannah George, Anna Hughes & Emily Hayward",807,Journal of Autism and Developmental Disorders,Psychology
401,"['42B25', '42B35', 'Variable exponent Lebesgue spaces', 'Muckenhoupt class', 'Extrapolation', 'Vector-valued maximal inequality']",Toru Nogayama,113,Journal of Inequalities and Applications,Criminology and Crime Justice
402,[],O. Sgouros & V. Soukeras,40,The European Physical Journal A,Computer Science
403,"['White matter hyperintensities', 'Cognitive impairment', 'Cortical thickness', 'Grey matter volume', 'Replication']","Wenhao Zhu, Hao Huang, Xiang Luo, Shabei Xu, Qi Meng, Chengchao Zuo & Wei Wang",202,Neuroscience Bulletin,Education
404,[],"J. Heery, R.-D. Herzberg & H. Tann",102,The European Physical Journal A,Education
405,[],"Ciara O’Connell, Eva Aizpurua & Mary Rogan",711,"Crime, Law and Social Change",Biomedicine
406,"['Energy storage', 'Spinel structure', 'Raman spectroscopy', 'Ferromagnetic order', 'Specific capacitance']",A. UmaSudharshini & C. Manoharan,12,Applied Physics A,Geography 2
407,"['Collaboration', 'Networks', 'Professional community', 'Teachers']",Sascha C. Mowrey,113,Early Childhood Education Journal,Mathematics
408,"['Virtual reality', 'Balance assessment', 'Posturography', 'Ecological validity', 'Visual motion']",A. Gonçalves & S. Bermúdez i Badia,61,Virtual Reality,Psychology 2
409,"['Influence function learning', 'Influence maximization', 'Information cascades', 'Social network']","Qi Cao, Huawei Shen, Jinhua Gao & Xueqi Cheng",90,Knowledge and Information Systems,Psychology 2
410,"['DNA', 'Digital model', 'Non-digital model', 'Cognitive load', 'Spatial intelligence', 'STEM', 'Mental models', 'Conceptual understanding', 'Teaching abstract concepts']",Salvatore G. Garofalo & Stephen J. Farenga,195,"Technology, Knowledge and Learning",Psychology 2
411,"['long-term tillage', 'residue retention', 'soil aggregates', 'SOC', 'deep soil', 'dryland']","Bisheng Wang, Lili Gao, Weishui Yu, Xueqin Wei, Jing Li, Shengping Li, Xiaojun Song, Guopeng Liang, Dianxiong Cai & Xueping Wu",134,Journal of Arid Land,Physics
412,"['Memory', 'Time', 'Bergson', 'Perception', 'Gibson', 'Hippocampus', 'Consciousness', 'Hard problem']",Stephen E. Robbins,166,Axiomathes,Computer Science
413,"['Discrete predator–prey system', 'Fixed points', 'Stability', 'Flip bifurcation', 'Neimark–Sacker bifurcation', 'Chaos control', '37C25', '37L10', '37M15', '39A30', '92D25']",Prabir Chakraborty,127,Rendiconti del Circolo Matematico di Palermo Series 2,Physics
414,"['NLO Computations', 'QCD Phenomenology']",Neelima Agarwal,23,Journal of High Energy Physics,Economics
415,"['Preference', 'Serial position effects', 'Step-by-step', 'Momentary fairness bias', 'D91']","Beomsoo Kim, Sangsoo Park & Yang Zhao",154,Journal of Cultural Economics,Psychology
416,"['Schizophrenia', 'Auditory hallucinations', 'Vision hallucinations', 'GMV', 'gFCD']",Chuanjun Zhuo & Gongying Li,537,Brain Imaging and Behavior,Economics
417,"['\nStaphylococcus\n', '\nPropionibacterium\n', '\nStreptococcus\n', 'Rifampin', 'Arthroplasty']","Ozlem Aydın, Pinar Ergen, Ferhat Arslan & Haluk Vahaboglu",304,European Journal of Clinical Microbiology & Infectious Diseases,Computer Science
418,"['Critical pedagogy', 'Digital literacy', 'Cybernetics', 'The two cultures', 'Interdisciplinary studies', 'Service and liberty']",Greta Goetz,336,Postdigital Science and Education,Education
419,"['Hydrogen', 'Asthma', 'ILC2', 'IL-33', 'Type II cytokine']","Jingxi Zhang, Xiumin Feng, Yunxin Fan, Guanglin Zhu & Chong Bai",52,Inflammation Research,Education
420,"['Diversity', 'Disability', 'The person', 'Special education', 'Existential education']",Solveig Magnus Reindal,471,Studies in Philosophy and Education,Geography
421,"['City', 'Urbanization', 'Identity', 'Process', 'Persistence through change', 'Four-dimensionalism']",Achille C. Varzi,550,Topoi,Mathematics
422,"['Religiosity', 'Religious service attendance', 'Scripture reading', 'Religious group membership', 'Binge drinking']",Craig Rivera & Timothy Lauger,43,Pastoral Psychology,Psychology 2
423,"['Acceptance and commitment therapy', 'Adolescent and young adult', 'Cancer', 'Cancer survivorship', 'Intervention']","Kristina Clarke, Pandora Patterson & Fiona E. J. McDonald",1006,Child & Youth Care Forum,Education
424,"['Peer-review', 'Scholarly activity', 'Scientific writing', 'Publishing', 'Academic medicine']",Jennifer D. Newcomb & Richard F. Lockey,199,Medical Science Educator,Mathematics
425,"['Crime prediction', 'Street network', 'Burglary', 'Crime mapping']","Gabriel Rosser, Toby Davies & Tao Cheng",10000,Journal of Quantitative Criminology,Philosophy
426,"['AL amyloidosis', 'Variable light chain fibrils', 'Solid state NMR']","Tejaswini Pradhan, Riddhiman Sarkar & Bernd Reif",701,Biomolecular NMR Assignments,Education
427,"['Bounded-degree spanning tree', 'Bottleneck spanning tree', 'Spanning tree ratios', 'Approximation algorithms']",Ahmad Biniaz,10,Discrete & Computational Geometry,Physics
428,"['Primary 05C15', 'Secondary 05C85', 'Packing coloring', '\nS-packing coloring', 'Sierpiński graph', '\nH-graph']",Fei Deng,77,Aequationes mathematicae,Psychology 2
429,"['Vehicle fires', 'Rational choice', 'Arson', 'Crime prevention', 'Opportunity theory']",Hannah Kelly,9024,Crime Science,Psychology
430,"['Guidance', 'Computer supported learning', 'Inquiry', 'Process constraints', 'Performance dashboard', 'Prompts', 'Heuristics', 'Scaffolds', 'Direct presentation of information', 'Automated guidance', 'Automated tutoring', 'Adaptive feedback']",Keysha I. Gamor,507,Educational Technology Research and Development,Garbage
431,"['Harmonic chains', 'Anharmonic chains', 'Short range interactions', 'Equilibrium time correlations', 'Airy scaling', 'Pearcey scaling']",T. Grava & G. Mazzuca,350,Journal of Statistical Physics,Psychology
432,"['Lucas sequences', 'Lehmer’s conjecture', 'Modular forms', '\nL-functions', 'Elliptic curves', '\nK3 surfaces', '11F11', '11G05', '11G40', '11J28', '11B39']",Malik Amir,248,The Ramanujan Journal,Mathematics
433,"['Land use/land cover', 'Change detection', 'GIS', 'Remote sensing']",Rasha M. Abou Samra,565,Spatial Information Research,Education
434,"['Implementation', 'Mathematics', 'English', 'Language arts', 'Education', 'Instructional materials']","Kristen R. Rolf, Sarah E. Pinkelman & Kaitlin Bundock",48,Global Implementation Research and Applications,Criminology and Crime Justice
435,"['Mindfulness', 'MBSR', 'MBCR', 'MBP', 'Spirituality', 'Meta-analysis']",Samuel D. Landau,69,Mindfulness,Economics
436,"['Ontology matching', 'Evolutionary ontology matching', 'Ontology meta-matching', 'Metaheuristics', 'Data provenance']","Nicolas Ferranti, Jose Ronaldo Mouro, Fabricio Martins Mendonça & Jairo Francisco de Souza",162,Journal of Intelligent Information Systems,Geography
437,"['Indigenous populations', 'Arthritis', 'Continuing professional development', 'Cultural competency', 'Cultural safety']",Cheryl Barnabe,271,BMC Medical Education,Biomedicine
438,"['Serious game', 'Interactive floor', 'Learning mechanisms', 'Young children']","Raymundo Cornejo, Fernando Martínez, Vania C. Álvarez & Claudia Barraza",111,Personal and Ubiquitous Computing,Psychology 2
439,"['Urban site suitability', 'Multi-influence factor', 'GIS', 'Tiruchirappalli']","Leelambar Singh, Subbarayan Saravanan, J. Jacinth Jennifer & D. Abijith",49,Asia-Pacific Journal of Regional Science,Computer Science
440,"['Organ donation', 'Donation after cardiac death', 'Medical assistance in dying', 'Qualitative\xa0methods', 'Professionals’ perspectives']",Julie Allard & Marie-Chantal Fortin,736,BMC Medical Ethics,Philosophy
441,"['MapReduce-based systems', 'Spatio-temporal systems', 'Spatio-temporal range query', 'Spatio-temporal nearest neighbor query', 'Spatio-temporal join query']","Louai Alarabi, Mohamed F. Mokbel & Mashaal Musleh",1038,GeoInformatica,Physics 2
442,"['Discrimination', 'Police Injustices', 'Anger', 'Depression', 'Racial Identity', 'Theory of African American Offending']",Deena A. Isom Scott,381,American Journal of Criminal Justice,Physics
443,"['artificial-forest ecosystem', 'hilly-gully area', 'restoration stages', 'soil water replenishment', 'rainfall regimes', 'rainfall event']","Weiliang Chen, Zongshan Li, Cong Wang, Guangyao Gao & Bojie Fu",76,Chinese Geographical Science,Geography 2
444,"['Heritage farming', 'Heirloom crops', 'Landraces', 'Biodiversity', 'Survey', 'Willingness to pay']",Subir Bairagi & Alvaro Durand-Morat,3552,Agriculture and Human Values,Education
445,"['Energy price', 'Commodity price', 'Wavelet coherence', 'Causality', 'Q4', 'Q2', 'E3', 'C3']",Dervis Kirikkaleli,724,Financial Innovation,Philosophy
446,"['splenectomy', 'dexmedetomidine', 'cholinergic anti-inflammatory pathway', 'AKI', 'inflammatory reaction', 'apoptosis', 'α7nAChR']","Yang Gao, Kai Kang, Na-na Li, Wei-lan Kong, Ming-yan Zhao & Kai-jiang Yu",195,Inflammation,Education
447,"['Carrying capacity', 'Ecological determinism', 'Plan for the valleys', 'Regional ecological planning', 'Socio-ecological practice', 'The Woodlands']",Thomas Daniels,1203,Socio-Ecological Practice Research,Philosophy
448,"['Jet nebulizer', 'Proportional Integral Derivative controller', 'Inhalation therapy', 'Computational fluid dynamics']","Udaya Dampage, Malmindi Ariyasinghe & Samanthi Pulleperuma",113,Journal of Pharmaceutical Innovation,Mathematics
449,"['Family process', 'Measurement', 'Cross-national', 'Closeness', 'Conflict']","Alexander T. Vazsonyi, Albert J. Ksinan & Magda Javakhishvili",121,Child Psychiatry & Human Development,Biomedicine
450,"['White-collar crime', 'Occupational offending', 'Opioid epidemic', 'Criminal investigations', 'Deterrence', 'Qualitative']",Jacinta M. Gau & William D. Moreto,98,American Journal of Criminal Justice,Computer Science
451,"['Hybrid parallelism', 'Natural vector spaces', 'Minkowski norms', 'Generalized Fermat’s theorem', 'Combinatorics', 'Self-scheduling', 'QSPR']",Alfonso Niño,16,The Journal of Supercomputing,Psychology
452,"['Transition space', 'In between space', 'Flexibility', 'Subversiveness', 'Empowerment pioneering urban practices']",Paola Pittaluga,923,"City, Territory and Architecture",Computer Science
453,"['37K10', '14N35']",Jipeng Cheng,30,Selecta Mathematica,Psychology
454,"['Regularization parameter selection rule', 'Low rank matrix recovery', 'Nuclear norm regularized minimization', 'Duality theory', '90C46', '65K05', '90C06', '90C25', '62J99']",Pan Shang & Lingchen Kong,43,Journal of Optimization Theory and Applications,Physics 2
455,"['Learning', 'Normative practices', 'Performance', 'Study strategies', 'Time management']",Cristina D. Zepeda,374,Memory & Cognition,Education
456,"['Artificial intelligence', 'EEG-based emotion classification', 'Feature extraction', 'Signal processing', 'Health care']",Muhammad Adeel Asghar & Muhammad Jamil Khan,0,Multimedia Systems,Education
457,"['Resilience', 'Enhancement', 'Ethics', 'Neuroethics', 'Bioethics']","Nikolai Münch, Hamideh Mahdiani & Norbert W. Paul",910,"Medicine, Health Care and Philosophy",Education
458,"['air transportation utilization', 'temporal and spatial patterns', 'influencing factors', 'development forecasting', 'China']",Xiangli Wu & Shan Man,182,Journal of Geographical Sciences,Education
459,"['Image captioning', 'Masked convolution', 'Dense fusion connection', 'Improved stacked attention module']","Hegui Zhu, Ru Wang & Xiangde Zhang",162,Neural Processing Letters,Garbage
460,"['Spatial dynamic panel data model', 'Short panel data', 'M-estimation', 'Fixed effect', 'Threshold extension', 'C510']",Junyue Wu & Yasumasa Matsuda,197,Journal of Spatial Econometrics,Philosophy
461,"['Graph partitioning', 'Time-evolving graph', 'Vertex-cut partitioning', 'Flink']",Yi-Hsuan Lee & Sheng-Jia Jian,19,The Journal of Supercomputing,Biomedicine
462,"['Resilience', 'Protective factor', 'Perceived stress', 'Bounce back', 'Late-life depression', 'Older adults']","Leandro da Silva-Sauer, Thiago Regis Gouveia Lima, Égina Karoline Gonçalves da Fonsêca & Bernardino Fernández-Calvo",125,Trends in Psychology,Physics
463,"['Polyvictimization', 'Social neurocriminology', 'Discordant-twin design', 'Self-control', 'Natural experiment']",Peter T. Tanksley & J.C. Barnes,607,Journal of Experimental Criminology,Biomedicine
464,"['Leadership', 'Organizational theory', 'Personnel management', 'Evolutionary games', 'Mass-behavior', 'C73', 'M54']",Stefano Dughera,162,Journal of Evolutionary Economics,Psychology 2
465,"['Renewable energy', 'Solar PV cells', 'MPPT', 'BOS']", Manisha & Prerna Gaur,25,International Journal of Information Technology,Education
466,"['Electronic gauge', 'Metrology', 'Micron measurement', 'Industry 4.0', 'LVDT', 'GRR']",B. A. Prathima & P. N. Sudha,92,SN Computer Science,Mathematics
467,"['Secure computation', 'Card-based cryptography', 'Invisible ink']",Kazumasa Shinagawa,246,New Generation Computing,Philosophy
468,"['ICRF', 'H minority heating', 'TRANSP-TORIC', 'KSTAR']","H. Y. Lee, J. S. Kang, H. H. Wi, S. J. Wang & J. G. Kwak",10,Journal of the Korean Physical Society,Philosophy
469,"['Extrapolation', 'Clinical trials', 'Evidence-based medicine', 'External validity', 'Relative risk', 'Philosophy of medicine']",Jonathan Fuller,235,Synthese,Psychology
470,"['PTSD', 'Resilience', 'Hardiness', 'Psychological capital', 'Police officers']",Kim M. E. Janssens,6426,Journal of Police and Criminal Psychology,Computer Science
